iter	R2	RMSE
594	0.9497267918	0.150401743
595	0.9498204926	0.1502615159
596	0.9499113999	0.1501253442
597	0.950001912	0.1499896415
598	0.950268383	0.1495894134
599	0.950559493	0.149150951
600	0.9507694821	0.1488338689
601	0.9510404761	0.1484236686
602	0.9511484668	0.1482598881
603	0.9514166587	0.1478523593
604	0.9515214687	0.1476927905
605	0.9517502886	0.1473438214
606	0.9519363683	0.147059424
607	0.95207542	0.1468465429
608	0.9522667576	0.1465531092
609	0.9524856233	0.1462167368
610	0.9526675276	0.1459365799
611	0.9529144317	0.1455554521
612	0.9531444	0.1451995668
613	0.9533868728	0.1448233832
614	0.9535557376	0.1445608203
615	0.9537511079	0.1442564485
616	0.9538462818	0.144107942
617	0.9539387129	0.1439635686
618	0.9541089169	0.143697338
619	0.9542889504	0.1434151944
620	0.9544629206	0.1431420246
621	0.9546310925	0.1428774629
622	0.9547213274	0.1427353066
623	0.9548728521	0.1424962753
624	0.9550880357	0.1421561307
625	0.9554242733	0.1416229985
626	0.9555113549	0.1414845958
627	0.955693462	0.1411947268
628	0.9557780528	0.1410598767
629	0.9558602422	0.1409287312
630	0.9559925706	0.1407173246
631	0.9561037985	0.1405393819
632	0.9561838012	0.140411254
633	0.9566271832	0.1396990276
634	0.9567059715	0.1395720856
635	0.9568459047	0.1393463436
636	0.9569529303	0.1391734413
637	0.9570295558	0.1390495189
638	0.9572017022	0.1387707121
639	0.9573428009	0.1385417716
640	0.9577621753	0.1378590688
641	0.9581528191	0.1372200813
642	0.9582841248	0.1370046314
643	0.958515023	0.1366249436
644	0.9586495243	0.1364032833
645	0.9588878223	0.1360096773
646	0.9590112622	0.1358053382
647	0.9591368412	0.1355971421
648	0.9592546754	0.1354014952
649	0.9594740675	0.1350364703
650	0.9595951749	0.1348345483
651	0.9597101275	0.134642608
652	0.9598934068	0.1343360133
653	0.9600066952	0.1341461508
654	0.9601144002	0.1339653962
655	0.9602168132	0.1337932963
656	0.9604211144	0.1334493152
657	0.9605045517	0.1333085771
658	0.9607307701	0.1329262525
659	0.9608715381	0.1326877889
660	0.9609710042	0.1325190329
661	0.9611716767	0.1321779122
662	0.9614375317	0.1317246281
663	0.9616258202	0.1314026495
664	0.9617336	0.1312179874
665	0.9619432581	0.1308580281
666	0.9622431895	0.1303413512
667	0.9623847542	0.130096772
668	0.962663578	0.1296137026
669	0.9627959257	0.1293837757
670	0.9629312764	0.1291482082
671	0.9630264483	0.1289823111
672	0.9630770862	0.1288939558
673	0.9632068115	0.1286673278
674	0.9633622587	0.1283952375
675	0.9634116804	0.1283086103
676	0.9635193701	0.128119647
677	0.9636804578	0.1278364646
678	0.9638049438	0.1276171956
679	0.9639231844	0.1274085776
680	0.9640470703	0.1271896323
681	0.9642502138	0.1268297959
682	0.9643781443	0.1266026624
683	0.9644419033	0.1264893096
684	0.9646992513	0.1260307519
685	0.9648460145	0.125768492
686	0.9649493345	0.1255835347
687	0.9651917003	0.1251485938
688	0.9653072296	0.124940736
689	0.9656418995	0.1243366441
690	0.9657645264	0.124114562
691	0.9658724071	0.1239188566
692	0.965984424	0.1237153202
693	0.9663025502	0.1231354456
694	0.9665287869	0.1227213983
695	0.9666476958	0.1225032161
696	0.9667967013	0.1222292607
697	0.9670983282	0.1216728138
698	0.967177919	0.1215255583
699	0.9672929091	0.121312493
700	0.9675535195	0.1208282169
701	0.9676582967	0.120632968
702	0.9679445699	0.1200978889
703	0.9680389945	0.1199208743
704	0.9681474394	0.1197172534
705	0.9683167134	0.1193987229
706	0.9685595183	0.118940337
707	0.9687719999	0.1185377433
708	0.9688729818	0.1183459305
709	0.968970814	0.1181598035
710	0.9690925433	0.117927802
711	0.9692507746	0.1176255479
712	0.9693369259	0.1174606542
713	0.9695659081	0.1170212527
714	0.9696482897	0.1168627639
715	0.9697976495	0.1165748702
716	0.9698415423	0.1164901308
717	0.9699574595	0.1162660442
718	0.9700471482	0.1160923647
719	0.9700897959	0.1160096876
720	0.9702491923	0.1157001572
721	0.9704289575	0.1153500765
722	0.9705402218	0.1151328632
723	0.9706906629	0.1148385148
724	0.9707823267	0.1146587976
725	0.9708740581	0.1144786657
726	0.9709701145	0.1142897362
727	0.9710236736	0.1141842573
728	0.9711157944	0.1140026071
729	0.9712031027	0.1138301787
730	0.9712903682	0.1136575736
731	0.9713789036	0.1134821884
732	0.9716431583	0.1129570908
733	0.9717859561	0.1126723202
734	0.9719229911	0.1123983637
735	0.9719981637	0.1122477968
736	0.9720498348	0.1121441848
737	0.9722605175	0.1117207253
738	0.9723439601	0.1115525662
739	0.9723963557	0.1114468455
740	0.9724810617	0.1112757182
741	0.9725984043	0.1110382212
742	0.9727265601	0.110778257
743	0.972798559	0.1106319391
744	0.9728797268	0.1104667557
745	0.9731143705	0.1099878402
746	0.9731595312	0.1098954262
747	0.9732391783	0.1097322518
748	0.973306425	0.109594293
749	0.9733848214	0.109433241
750	0.9734613496	0.1092757978
